Question:
What models are being evaluated on the ACL Anthology dataset?

Generated SPARQL:
 SELECT?dataset?dataset_lbl (GROUP_CONCAT(?model?model_lbl SEPARATED BY "\n"))
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "ACL Anthology")
      ?dataset      orkgp:HAS_DATASET      ?cont.
      ?cont         orkgp:HAS_EVALUATION   ?eval.
      ?eval         orkgp:P31               ?model.
      ?model      rdfs:label              ?model_lbl.
      } 
      ORDER BY DESC(?dataset_lbl)
      LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT 1
    LIMIT
