Question:
What are the models that have been benchmarked on the Automatically labeled Medline abstracts corpus dataset?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "Automatically labeled Medline abstracts corpus")
      ?benchmark      orkgp:HAS_DATASET      ?dataset.
      ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         orkgp:P31               ?cont;
                     orkgp:HAS_EVALUATION   ?eval.
      ?eval         rdfs:label              ?eval_lbl.
      ?eval         orkgp:P32               ?eval_lbl;
                     rdfs:label              ?eval_lbl.
      ?eval         orkgp:P33               ?cont.
      ?cont         rdfs:label              ?model_lbl.
      ?cont         orkgp:P34               ?model.
      ?model       rdfs:label              ?model_lbl.
      ?model      orkgp:P35               ?model.
      ?model      orkgp:P36               ?model.
      ?model      orkgp:P37               ?model.
      ?model      orkgp:P38               ?model.
      ?model      orkgp:P39               ?model.
      ?model      orkgp:P40               ?model.
      ?model      orkgp:P41               ?model.
      ?model      orkgp:P42               ?model.
      ?model      orkgp:P43               ?model.
      ?model      orkgp:P44               ?model.
      ?model      orkgp:P45               ?model.
      ?model      orkgp:P46               ?model.
      ?model      orkgp:P47               ?model.
      ?model      orkgp:P48               ?model.
      ?model      orkgp:P49               ?model.
      ?model      orkgp:P50               ?model.
      ?model      orkgp:P51               ?model.
      ?model      orkgp:P52               ?model.
      ?model      orkgp:P53               ?model.
      ?model      orkgp:P54               ?model.
      ?model      orkgp:P55               ?model.
      ?model      orkgp:P56               ?model.
      ?model      orkgp:P57               ?model.
      ?model      orkgp:P58               ?model.
      ?model      orkgp:P59               ?model.
      ?model      orkgp:P60               ?model.
      ?model      orkgp:P61               ?model.
      ?model      orkgp:P62               ?model.
      ?model      orkgp:P63               ?model.
      ?model      orkgp:P64               ?model.
      ?model      orkgp:P65               ?model.
      ?model      orkgp:P66               ?model.
      ?model      orkgp:P67               ?model.
      ?model      orkgp:P68               ?model.
      ?model      orkgp:P69               ?model.
      ?model      orkgp:P70               ?model.
      ?model      orkgp:P71               ?model.
      ?model      orkgp:P72               ?model.
      ?model      orkgp:P73               ?model.
      ?model      orkgp:P74               ?model.
      ?model      orkgp:P75               ?model.
      ?model      orkgp:P76               ?model.
      ?model      orkgp:P77               ?model.
      ?model      orkgp:P78               ?model.
      ?model      orkgp:P79               ?model.
      ?model      orkgp:P80               ?model.
      ?model      orkgp:P81               ?model.
      ?model      orkgp:P82               ?model.
      ?model      orkgp:P83               ?model.
      ?model      orkgp:P84               ?model.
      ?model      orkgp:P85               ?model.
      ?model      orkgp:P86               ?model.
      ?model      orkgp:P87               ?model.
      ?model      orkgp:P88               ?model.
      ?model      orkgp:P89               ?model.
      
