Question:
What are the titles and IDs of research papers that include a benchmark for the HoC dataset?

Generated SPARQL:
 SELECT DISTINCT?paper?paper_lbl
      WHERE {
       ?dataset       a                orkgc:Dataset;
                        rdfs:label      ?dataset_lbl.
        FILTER (str(?dataset_lbl) = "HoC")
       ?benchmark      orkgp:HAS_DATASET      ?dataset.
       ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
       ?paper         orkgp:P31               ?cont.
       ?paper         rdfs:label              ?paper_lbl.
      } 
      ORDER BY?paper_lbl; 
      LIMIT 1; 
      OFFSET 0; 
      FETCH ALL AS "result_set" 
      RETURNING result_set AS "result_set" 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set; 
      RETURNING result_set;
