Question:
What are the metrics of evaluation over the Fashion-MNIST dataset?

Generated SPARQL:
 SELECT DISTINCT?metric?metric_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "Fashion-MNIST")
      ?benchmark      orkgp:HAS_DATASET      ?dataset.
      ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
      ?eval         orkgp:HAS_EVALUATION     ?cont;
                     orkgp:P31               ?eval.
      ?eval         rdfs:label              ?metric.
      ?eval         orkgp:HAS_VALUE          ?value.
      ?value        rdfs:label              ?metric_lbl.
       OPTIONAL {?eval           orkgp:HAS_METRIC         ?metric1.
                ?metric1          rdfs:label              ?metric_lbl1.}
      ?metric      orkgp:HAS_METRIC         ?metric1.
      ?metric1     rdfs:label              ?metric_lbl1.
      ?metric      orkgp:HAS_VALUE          ?value.
      ?value       rdfs:label              ?metric_lbl.
      ?cont         orkgp:P31               ?eval.
      ?cont         orkgp:HAS_EVALUATION     ?eval.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont1.
      ?cont1        rdfs:label              ?cont_lbl1.
      ?cont         orkgp:HAS_VALUE          ?value.
      ?value        rdfs:label              ?metric_lbl.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont1.
      ?cont         orkgp:HAS_EVALUATION     ?eval.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_VALUE          ?value.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont1.
      ?cont         orkgp:HAS_EVALUATION     ?eval.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_VALUE          ?value.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont1.
      ?cont         orkgp:HAS_EVALUATION     ?eval.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_VALUE          ?value.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont1.
      ?cont         orkgp:HAS_EVALUATION     ?eval.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:HAS_VALUE          ?value.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         orkgp:HAS_METRIC         ?metric1.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont1.
      ?cont         orkgp:HAS_EVALUATION     ?eval.
      ?cont         orkgp:HAS_DATASET      ?dataset.
      ?cont         rdfs:label              
