Question:
Indicate the model that performed best in terms of Accuracy metric on the Stanford Cars benchmark dataset?

Generated SPARQL:
 SELECT?model?model_lbl
     WHERE {
      ?metric     a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
       FILTER (str(?metric_lbl) = "Accuracy")
      ?benchmark      orkgp:HAS_DATASET      ?dataset.
      ?cont           orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?model          rdfs:label               ?model_lbl.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?eval           orkgp:HAS_METRIC        ?metric.
      ?metric         rdfs:label               ?metric_lbl.
      ?eval           orkgp:HAS_VALUE         ?value.
       FILTER (str(?value) = "best")
      ?value           orkgp:HAS_MODEL         ?model.
      ?cont           rkgp:HAS_SOURCE        ?source.
      ?source         rkgp:P31               ?paper.
      ?paper          rkgp:HAS_BENCHMARK     ?benchmark.
      ?paper          rkgp:HAS_DATASET       ?dataset.
      ?cont           rkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_SOURCE       ?source.
      ?cont           rkgp:P31               ?paper.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           rkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           rkgp:HAS_VALUE         ?value.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           rkgp:P31               ?paper.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_VALUE         ?value.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           rkgp:HAS_SOURCE        ?source.
      ?cont           rkgp:P31               ?paper.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_VALUE         ?value.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           rkgp:P31               ?paper.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_VALUE         ?value.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_VALUE         ?value.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           rkgp:P31               ?paper.
      ?cont           orkgp:HAS_SOURCE        ?source.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS
