Question:
Can you provide links to code used in papers that benchmark the Multi-Perspective Matching (single model) model?

Generated SPARQL:
 SELECT?code
     WHERE {
      ?paperskgs rdfs:label?paperskgs_labels.
       FILTER(REGEX(?paperskgs_labels, "Multi-Perspective Matching (single model)"))
      ?paperskgs orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P31?cont.
      ?cont orkgp:P32?contcont.
      ?contcont orkgp:P33?paper.
      ?paper orkgp:HAS_CODE?code.
      ?code rdfs:label?code_labels.
       FILTER(REGEX(?code_labels, "code"))
      ?paper orkgp:P34?eval.
      ?eval orkgp:P35?metric.
      ?metric rdfs:label?metric_labels.
       FILTER(REGEX(?metric_labels, "benchmark"))
      ?contcont orkgp:P36?contcontcont.
      ?contcontcont orkgp:P37?contcontcontcont.
      ?contcontcontcont orkgp:P38?contcontcontcontcont.
      ?contcontcontcontcont orkgp:P39?contcontcontcontcontcont.
      ?contcontcontcontcontcont orkgp:P40?contcontcontcontcontcontcont.
      ?contcontcontcontcontcontcont orkgp:P41?contcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcont orkgp:P42?contcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcont orkgp:P43?contcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcont orkgp:P44?contcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcont orkgp:P45?contcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcont orkgp:P46?contcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcont orkgp:P47?contcontcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcontcont orkgp:P48?contcontcontcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcontcontcont orkgp:P49?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont orkgp:P50?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont orkgp:P51?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont orkgp:P52?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont orkgp:P53?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont.
      ?contcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcontcont
