Question:
What models are being evaluated on the Atari 2600 Solaris dataset?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX bio2vec: <http://www.biopython.org/Bio2Vec>
     PREFIX orkg-bio: <http://orkg.org/bio2vec#>
     PREFIX orkg-model: <http://orkg.org/model#>
     PREFIX orkg-dataset: <http://orkg.org/dataset#>
     PREFIX orkg-paper: <http://orkg.org/paper#>
     PREFIX orkg-author: <http://orkg.org/author#>
     PREFIX orkg-institution: <http://orkg.org/institution#>
     PREFIX orkg-organization: <http://orkg.org/organization#>
     PREFIX orkg-topic: <http://orkg.org/topic#>
     PREFIX orkg-task: <http://orkg.org/task#>
     PREFIX orkg-game: <http://orkg.org/game#>
     PREFIX orkg-technology: <http://orkg.org/technology#>
     PREFIX orkg-subject: <http://orkg.org/subject#>
     PREFIX orkg-object: <http://orkg.org/object#>
     PREFIX orkg-relation: <http://orkg.org/relation#>
     PREFIX orkg-attribute: <http://orkg.org/attribute#>
     PREFIX orkg-value: <http://orkg.org/value#>
     PREFIX orkg-date: <http://orkg.org/date#>
     PREFIX orkg-place: <http://orkg.org/place#>
     PREFIX orkg-language: <http://orkg.org/language#>
     PREFIX orkg-format: <http://orkg.org/format#>
     PREFIX orkg-identifier: <http://orkg.org/identifier#>
     PREFIX orkg-metrics: <http://orkg.org/metrics#>
     PREFIX orkg-predicate: <http://orkg.org/predicate#>
     PREFIX orkg-subjectType: <http://orkg.org/subType#>
     PREFIX orkg-objectType: <http://orkg.org/objectType#>
     PREFIX orkg-relationType: <http://orkg.org/relationType#>
     PREFIX orkg-attributeType: <http://orkg.org/attributeType#>
     PREFIX orkg-valueType: <http://orkg.org/valueType#>
     PREFIX orkg-dateType: <http://orkg.org/dateType#>
     PREFIX orkg-placeType: <http://orkg.org/placeType#>
     PREFIX orkg-languageType: <http://orkg.org/languageType#>
     PREFIX orkg-formatType: <http://orkg.org/formatType#>
     PREFIX orkg-identifierType: <http://orkg.org/identifierType#>
     PREFIX orkg-metricsType: <http://orkg.org/metricsType#>
     PREFIX orkg-predicateType: <http://orkg.org/predicateType#>
     PREFIX orkg-subjectTypeType: <http://orkg.org/subTypeType#>
     PREFIX orkg-objectTypeType: <http://orkg.org/objectTypeType#>
     PREFIX orkg-relationTypeType: <http://orkg.org/relationTypeType#>
     PREFIX orkg-attributeTypeType: <http://orkg.org/attributeTypeType#>
     PREFIX orkg-valueTypeType: <http://orkg.org/valueTypeType#>
     PREFIX orkg-dateTypeType: <http://orkg.org/dateTypeType#>
     PREFIX orkg-placeTypeType: <http://orkg.org/placeTypeType#>
     PREFIX orkg-languageTypeType: <http://orkg.org/languageTypeType#>
     PREFIX orkg-formatTypeType: <http://orkg.org/formatTypeType#>
     PREFIX orkg-identifierTypeType: <http://orkg.org/identifierTypeType#>
     PREFIX orkg-metricsTypeType: <http://orkg.org/metricsTypeType#>
     PREFIX or
