Question:
What are the models that have been benchmarked on the Atari 2600 Road Runner dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/orkg/>
     PREFIX wdt: <http://www.wikidata.org/property/>
     PREFIX wd: <http://www.wikidata.org/entity/>
     SELECT?model?dataset 
     WHERE {?model wdt:P275?benchmarking.?benchmarking wdt:P131 wd:Q13494.?model wdt:P31 wd:Q5.?model wdt:P106?dataset. FILTER (regex(str(?dataset), "Atari 2600 Road Runner")) }
     LIMIT 10 
     END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 
    END{ } 

