Question:
What are the titles and IDs of research papers that include a benchmark for the Amazon-2 dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/ontology/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbr: <http://dbpedia.org/ontology/>
     PREFIX dbo: <http://dbpedia.org/ontology/>
     PREFIX schema: <http://schema.org/>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX wikibase: <http://wikibase.org/ontology/#>
     PREFIX wdt: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt2: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt3: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt4: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt5: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt6: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt7: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt8: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt9: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt10: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt11: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt12: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt13: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt14: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt15: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt16: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt17: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt18: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt19: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt20: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt21: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt22: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt23: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt24: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt25: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt26: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt27: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt28: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt29: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt30: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt31: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt32: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt33: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt34: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt35: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt36: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt37: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt38: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt39: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt40: <http://www.wikidata.org/prop/direct/>
     PREFIX wdt41: <http://www.wik
