Question:
List the metrics that are used to evaluate models on the CoQA benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/orkg/>
     PREFIX wot: <http://www.wot-ontology.org/wot/>
     PREFIX rdfs: <http://www.wot-ontology.org/rdfs/>
     PREFIX skos: <http://www.wot-ontology.org/skos/>
     PREFIX owl: <http://www.wot-ontology.org/owl/>
     SELECT?metric 
     WHERE {
        ?metric rdfs:label?label.
         FILTER (REGEX (STR(?label), "CoQA benchmark") || REGEX (STR(?label), "benchmark"))
        ?metric wot:relatedModel?model.
        ?model wot:benchmark?benchmark.
        ?benchmark orkg:dataset "CoQA benchmark".
        ?metric rdfs:label?label.
         FILTER (REGEX (STR(?label), "F1 score|accuracy|precision|recall|ROUGE-L|BLEU score|coherence"))
     } 
    END { } 
    LIMIT 5 
    OFFSET 0 
    SORT BY (REGEX (STR(?metric), "F1 score|accuracy|precision|recall|ROUGE-L|BLEU score|coherence"), DESC) 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END { } 
    END
