Question:
What is the top benchmark score and its metric on the Atari 2600 Ice Hockey dataset?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearchknowledgegraph.org/orkg/>
     PREFIX wdt: <http://www.wikidata.org/property/P>
     PREFIX wd: <http://www.wikidata.org/entity/>
     SELECT?metric?score 
     WHERE {
       ?metric wdt:P31 wd:Q116858.
       ?metric wdt:P31 wd:Q108860.
       ?metric wdt:P31 wd:Q116857.
       ?metric wdt:P113 wd:Q107750.
       ?metric wdt:P111 wd:Q107749.
       ?metric wdt:P131 wd:Q107750.
       ?metric wdt:P131 wd:Q107751.
       ?metric wdt:P131 wd:Q107752.
       ?metric wdt:P131 wd:Q107753.
       ?metric wdt:P131 wd:Q107754.
       ?metric wdt:P131 wd:Q107755.
       ?metric wdt:P131 wd:Q107756.
       ?metric wdt:P131 wd:Q107757.
       ?metric wdt:P131 wd:Q107758.
       ?metric wdt:P131 wd:Q107759.
       ?metric wdt:P131 wd:Q107760.
       ?metric wdt:P131 wd:Q107761.
       ?metric wdt:P131 wd:Q107762.
       ?metric wdt:P131 wd:Q107763.
       ?metric wdt:P131 wd:Q107764.
       ?metric wdt:P131 wd:Q107765.
       ?metric wdt:P131 wd:Q107766.
       ?metric wdt:P131 wd:Q107767.
       ?metric wdt:P131 wd:Q107768.
       ?metric wdt:P131 wd:Q107769.
       ?metric wdt:P131 wd:Q107770.
       ?metric wdt:P131 wd:Q107771.
       ?metric wdt:P131 wd:Q107772.
       ?metric wdt:P131 wd:Q107773.
       ?metric wdt:P131 wd:Q107774.
       ?metric wdt:P131 wd:Q107775.
       ?metric wdt:P131 wd:Q107776.
       ?metric wdt:P131 wd:Q107777.
       ?metric wdt:P131 wd:Q107778.
       ?metric wdt:P131 wd:Q107779.
       ?metric wdt:P131 wd:Q107780.
       ?metric wdt:P131 wd:Q107781.
       ?metric wdt:P131 wd:Q107782.
       ?metric wdt:P131 wd:Q107783.
       ?metric wdt:P131 wd:Q107784.
       ?metric wdt:P131 wd:Q107785.
       ?metric wdt:P131 wd:Q107786.
       ?metric wdt:P131 wd:Q107787.
       ?metric wdt:P131 wd:Q107788.
       ?metric wdt:P131 wd:Q107789.
       ?metric wdt:P131 wd:Q107790.
       ?metric wdt:P131 wd:Q107791.
       ?metric wdt:P131 wd:Q107792.
       ?metric wdt:P131 wd:Q107793.
       ?metric wdt:P131 wd:Q107794.
       ?metric wdt:P131 wd:Q107795.
       ?metric wdt:P131 wd:Q107796.
       ?metric wdt:P131 wd:Q107797.
       ?metric wdt:P131 wd:Q107798.
       ?metric wdt:P131 wd:Q107799.
       ?metric wdt:P131 wd:Q107800.
       ?metric wdt:P131 wd:Q107801.
       ?metric wdt:P131 wd:Q107802.
       ?metric wdt:P131 wd:Q107803.
       ?metric wdt:P131 wd:Q107804.
       ?metric wdt:P131 wd:Q107805.
       ?metric wdt:P131 wd:Q107806.
       ?metric wdt:P131 wd:Q107807.
       ?metric wdt:P131 wd:Q107808.
       ?metric wdt:P131 wd:Q107
