Question:
What is the best performing model benchmarking the ImageNet 64x64 dataset in terms of Bits per dim metric?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearch.org/ontology/orkg#>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX bio2vec: <http://www.openresearch.org/ontology/bio2vec#>
     PREFIX bio2vec_1_0: <http://www.openresearch.org/ontology/bio2vec#>
     PREFIX orkg_1_0: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_1: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_2: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_3: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_4: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_5: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_6: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_7: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_8: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_1_9: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_0: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_1: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_2: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_3: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_4: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_5: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_6: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_7: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_8: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_2_9: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_0: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_1: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_2: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_3: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_4: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_5: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_6: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_7: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_8: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_3_9: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_4_0: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_4_1: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_4_2: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_4_3: <http://www.openresearch.org/ontology/orkg#>
     PREFIX orkg_4_4: <http://www.openresearch.org/ontology/orkg#>
     PREFIX or
