Question:
Indicate the model that performed best in terms of F1 metric on the ShARe/CLEF eHealth corpus benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://example.org/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpediaLite: <http://dbpedia-lite.org/ontology/>
     PREFIX dcterms: <http://purl.org/dcTerms/>
     PREFIX sparql: <http://www.w3.org/TR/rdf-sparql-protocol/#namespace>
     PREFIX vcard: <http://www.w3.org/2006/vcard/ns#>
     PREFIX orkg: <http://example.org/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpediaLite: <http://dbpedia-lite.org/ontology/>
     PREFIX dcterms: <http://purl.org/dcTerms/>
     PREFIX sparql: <http://www.w3.org/TR/rdf-sparql-protocol/#namespace>
     PREFIX vcard: <http://www.w3.org/2006/vcard/ns#>
     PREFIX orkg: <http://example.org/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpediaLite: <http://dbpedia-lite.org/ontology/>
     PREFIX dcterms: <http://purl.org/dcTerms/>
     PREFIX sparql: <http://www.w3.org/TR/rdf-sparql-protocol/#namespace>
     PREFIX vcard: <http://www.w3.org/2006/vcard/ns#>
     PREFIX orkg: <http://example.org/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpediaLite: <http://dbpedia-lite.org/ontology/>
     PREFIX dcterms: <http://purl.org/dcTerms/>
     PREFIX sparql: <http://www.w3.org/TR/rdf-sparql-protocol/#namespace>
     PREFIX vcard: <http://www.w3.org/2006/vcard/ns#>
     PREFIX orkg: <http://example.org/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpediaLite: <http://dbpedia-lite.org/ontology/>
     PREFIX dcterms: <http://purl.org/dcTerms/>
     PREFIX sparql: <http://www.w3.org/TR/rdf-sparql-protocol/#namespace>
     PREFIX vcard: <http://www.w3.org/2006/vcard/ns#>
     PREFIX orkg: <http://example.org/orkg#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd:
