Question:
Provide a list of papers that have utilized the BART model and include the links to their code?

Generated SPARQL:
 PREFIX bio2vec: <http://bio2vec.org/ontology/>
     PREFIX bio2vec2: <http://bio2vec2.org/ontology/>
     PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX wd: <http://www.wikidata.org/ontology/>
     PREFIX wdt: <http://www.wikidata.org/prop/direct/>
     PREFIX wds: <http://www.wikidata.org/prop/directs/>
     PREFIX yago: <http://yago-knowledge.org/ontology/>
     PREFIX yago2: <http://yago2-knowledge.org/ontology/>
     PREFIX bio2vec3: <http://bio2vec3.org/ontology/>
     PREFIX orkg2: <http://orkg2.org/ontology/>
     PREFIX orkg3: <http://orkg3.org/ontology/>
     PREFIX orkg4: <http://orkg4.org/ontology/>
     PREFIX orkg5: <http://orkg5.org/ontology/>
     PREFIX orkg6: <http://orkg6.org/ontology/>
     PREFIX orkg7: <http://orkg7.org/ontology/>
     PREFIX orkg8: <http://orkg8.org/ontology/>
     PREFIX orkg9: <http://orkg9.org/ontology/>
     PREFIX orkg10: <http://orkg10.org/ontology/>
     PREFIX orkg11: <http://orkg11.org/ontology/>
     PREFIX orkg12: <http://orkg12.org/ontology/>
     PREFIX orkg13: <http://orkg13.org/ontology/>
     PREFIX orkg14: <http://orkg14.org/ontology/>
     PREFIX orkg15: <http://orkg15.org/ontology/>
     PREFIX orkg16: <http://orkg16.org/ontology/>
     PREFIX orkg17: <http://orkg17.org/ontology/>
     PREFIX orkg18: <http://orkg18.org/ontology/>
     PREFIX orkg19: <http://orkg19.org/ontology/>
     PREFIX orkg20: <http://orkg20.org/ontology/>
     PREFIX orkg21: <http://orkg21.org/ontology/>
     PREFIX orkg22: <http://orkg22.org/ontology/>
     PREFIX orkg23: <http://orkg23.org/ontology/>
     PREFIX orkg24: <http://orkg24.org/ontology/>
     PREFIX orkg25: <http://orkg25.org/ontology/>
     PREFIX orkg26: <http://orkg26.org/ontology/>
     PREFIX orkg27: <http://orkg27.org/ontology/>
     PREFIX orkg28: <http://orkg28.org/ontology/>
     PREFIX orkg29: <http://orkg29.org/ontology/>
     PREFIX orkg30: <http://orkg30.org/ontology/>
     PREFIX orkg31: <http://orkg31.org/ontology/>
     PREFIX orkg32: <http://orkg32.org/ontology/>
     PREFIX orkg33: <http://orkg33.org/ontology/>
     PREFIX orkg34: <http://orkg34.org/ontology/>
     PREFIX orkg35: <http://orkg35.org/ontology/>
     PREFIX orkg36: <http://orkg36.org/ontology/>
     PREFIX orkg37: <http://orkg37.org/ontology/>
     PREFIX orkg38: <http://orkg38.org/ontology/>
     PREFIX orkg39: <http://orkg39.org/ontology/>
     PREFIX orkg40: <http://orkg40.org/ontology/>
     PREFIX orkg41: <http://orkg41.org/ontology/>
     PREFIX orkg42: <http://orkg42.org/ontology/>
     PREFIX orkg43: <http://orkg43.org/ontology/>
     PREFIX orkg44: <http://orkg44.org/ontology/>
     PREFIX orkg45: <http://orkg45.org/ontology/>
     PREFIX orkg46: <http://orkg46.org/ontology/>
     PREFIX orkg47: <http://orkg47.org/ontology
