Question:
Where can I find code references in papers that have used the BiDAF + Self Attention + ELMo model for benchmarking purposes?

Generated SPARQL:
 PREFIX bio2vec: <http://purl.org/bio2vec/>
     PREFIX curation: <http://purl.org/linked-ontology/curation/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpedia_labels: <http://dbpedia.org/labels/>
     PREFIX elmo: <http://purl.org/linked-ontology/ELMo/>
     PREFIX entity: <http://purl.org/linked-ontology/entity/>
     PREFIX ont: <http://purl.org/linked-ontology/ontology/>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX schema: <http://schema.org/>
     PREFIX semeval: <http://purl.org/semeval/>
     PREFIX sparql: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX wot: <http://purl.org/wot/>
     PREFIX wot1: <http://purl.org/wot/wot1/>
     PREFIX wot2: <http://purl.org/wot/wot2/>
     PREFIX wot3: <http://purl.org/wot/wot3/>
     PREFIX wot4: <http://purl.org/wot/wot4/>
     PREFIX wot5: <http://purl.org/wot/wot5/>
     PREFIX wot6: <http://purl.org/wot/wot6/>
     PREFIX wot7: <http://purl.org/wot/wot7/>
     PREFIX wot8: <http://purl.org/wot/wot8/>
     PREFIX wot9: <http://purl.org/wot/wot9/>
     PREFIX wot10: <http://purl.org/wot/wot10/>
     PREFIX wot11: <http://purl.org/wot/wot11/>
     PREFIX wot12: <http://purl.org/wot/wot12/>
     PREFIX wot13: <http://purl.org/wot/wot13/>
     PREFIX wot14: <http://purl.org/wot/wot14/>
     PREFIX wot15: <http://purl.org/wot/wot15/>
     PREFIX wot16: <http://purl.org/wot/wot16/>
     PREFIX wot17: <http://purl.org/wot/wot17/>
     PREFIX wot18: <http://purl.org/wot/wot18/>
     PREFIX wot19: <http://purl.org/wot/wot19/>
     PREFIX wot20: <http://purl.org/wot/wot20/>
     PREFIX wot21: <http://purl.org/wot/wot21/>
     PREFIX wot22: <http://purl.org/wot/wot22/>
     PREFIX wot23: <http://purl.org/wot/wot23/>
     PREFIX wot24: <http://purl.org/wot/wot24/>
     PREFIX wot25: <http://purl.org/wot/wot25/>
     PREFIX wot26: <http://purl.org/wot/wot26/>
     PREFIX wot27: <http://purl.org/wot/wot27/>
     PREFIX wot28: <http://purl.org/wot/wot28/>
     PREFIX wot29: <http://purl.org/wot/wot29/>
     PREFIX wot30: <http://purl.org/wot/wot30/>
     PREFIX wot31: <http://purl.org/wot/wot31/>
     PREFIX wot32: <http://purl.org/wot/wot32/>
     PREFIX wot33: <http://purl.org/wot/wot33/>
     PREFIX wot34: <http://purl.org/wot/wot34/>
     PREFIX wot35: <http://purl.org/wot/wot35/>
     PREFIX wot36: <http://purl.org/wot/wot36/>
     PREFIX wot37: <http://purl.org/wot/wot37/>
     PREFIX wot38: <http://purl.org/wot/wot38/>
     PREFIX wot
