Question:
List the code links in papers that use the Dynamic Coattention Networks (single model) model in any benchmark?

Generated SPARQL:
 PREFIX orkg: <http://orcg.io/ontology#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX orkg: <http://orcg.io/ontology#>
     PREFIX skos: <http://www.w3.org/2004/02/skos/core#>
     PREFIX bio2vec: <http://bio2vec.org/ontology#>
     PREFIX bio2vec_labels: <http://bio2vec.org/ontology/bio2vec_labels>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbpedia_labels: <http://dbpedia.org/ontology/dbpedia_labels>
     PREFIX schema: <http://schema.org/>
     PREFIX schema_labels: <http://schema.org/schema#>
     PREFIX wikibase: <http://wikiba.se/ontology#>
     PREFIX wikibase_labels: <http://wikiba.se/ontology/wikibase_labels>
     PREFIX wot: <http://wotnet.org/wot/ontologies/wot#>
     PREFIX wot_labels: <http://wotnet.org/wot/ontologies/wot#>
     PREFIX wotn: <http://wotnet.org/wot/ontologies/wotn#>
     PREFIX wotn_labels: <http://wotnet.org/wot/ontologies/wotn#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX sparql: <http://www.w3.org/TR/rdf-sparql-protocol#>
     PREFIX vcard: <http://www.w3.org/2006/vcard#>
     PREFIX vcard_labels: <http://www.w3.org/2006/vcard#>
     PREFIX vcardn: <http://www.w3.org/ns/vcard#>
     PREFIX vcardn_labels: <http://www.w3.org/ns/vcard#>
     PREFIX wotn: <http://wotnet.org/wot/ontologies/wotn#>
     PREFIX wotn_labels: <http://wotnet.org/wot/ontologies/wotn#>
     PREFIX wotn_xsd: <http://wotnet.org/wot/ontologies/wotn#>
     PREFIX wotn_xsd_labels: <http://wotnet.org/wot/ontologies/wotn#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX xsd_labels: <http://www.w3.org/2001/XMLSchema#>
     PREFIX yago: <http://yago-knowledge.org/v10#>
     PREFIX yago_labels: <http://yago-knowledge.org/v10#>
     PREFIX yago_nosort: <http://yago-knowledge.org/v10/nosort#>
     PREFIX yago_nosort_labels: <http://yago-knowledge.org/v10/nosort#>
     PREFIX yago_nosort_types: <http://yago-knowledge.org/v10/nosort#>
     PREFIX yago_nosort_types_labels: <http://yago-knowledge.org/v10/nosort#>
     PREFIX yago_types: <http://yago-knowledge.org/v10/types#>
     PREFIX yago_types_labels: <http://yago-knowledge.org/v10/types#>
     PREFIX yago_xsd: <http://yago-knowledge.org/v10/xsd#>
     PREFIX yago_xsd_labels: <http://yago-knowledge.org/v10/xsd#>
     PREFIX yago_xsd_types: <http://yago-knowledge.org/v10/xsd#>
     PREFIX yago_xsd_types_labels: <http://yago-knowledge.org/v10/xsd#>
     PREFIX yago_xsd_types_ref: <http://yago-knowledge.org/v10/xsd#>
     PREFIX yago_xsd_types_ref_labels: <http://yago-knowledge.org/v10/xsd#>
     PREFIX yago_xsd_types_shapes: <http://yago-k
