Question:
Where can I find code references in papers that have used the SRU++ Base model for benchmarking purposes?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX wdt: <http://www.wikidata.org/property/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX dcterms: <http://purl.org/dc/terms/>
     PREFIX bio2vec: <http://bio2vec.org/ontology/>
     PREFIX wdt: <http://www.wikidata.org/property/>
     SELECT?paper { 
       ?paper schema:description?desc.
       ?paper schema:keywords?keywords.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:keywords?keyword.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       ?paper schema:author?author.
       ?paper schema:editor?editor.
       ?paper schema:version?version.
       ?paper schema:abstract?abstract.
       ?paper schema:identifier?identifier.
       ?paper schema:dataset?dataset.
       
