Question:
Can you provide links to code used in papers that benchmark the KD-LSTMreg model?

Generated SPARQL:
 PREFIX orkg: <http://www.openresearchknowledgegraph.org/ontology/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX schema: <http://schema.org/>
     SELECT?paper?code
     WHERE {
    ?paper a orkg:Paper.
     schema:description?description.
     dbpedia:hasCode?code.
    ?paper schema:about <http://dbpedia.org/resource/KB_LSTMreg>.
    ?paper orkg:hasBenchmark?benchmark.
    ?benchmark orkg:hasModel?benchmarkModel.
    ?benchmarkModel schema:hasModel?benchmarkModel.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkDescription rdfs:label?benchmarkLabel.
    ?benchmarkModel schema:hasModel?benchmarkModel.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description?benchmarkDescription.
    ?benchmarkModel schema:description
