Question:
Are children examined in the studies?

Generated SPARQL:
 PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX orkg: <http://orkg.org/schema/2012-07-01/orkg#>
     SELECT?s?p?o
     WHERE {
    ?s orkg:hasStudy?study.
    ?study dbpedia:studySubject.
    ?study orkg:hasSubject?subject.
    ?subject rdfs:label?subjectLabel.
    ?s orkg:hasVariable?variable.
    ?variable dbpedia:variableType.
    ?variable orkg:hasValue?value.
    ?s orkg:hasVariable?variable2.
    ?variable2 rdfs:label?variableLabel.
    ?s orkg:hasVariable?variable3.
    ?variable3 dbpedia:variableType.
    ?variable3 orkg:hasValue?value2.
    ?study orkg:hasSubject?subject2.
    ?subject2 rdfs:label?subjectLabel2.
    ?study orkg:hasVariable?variable4.
    ?variable4 dbpedia:variableType.
    ?variable4 orkg:hasValue?value3.
    ?s orkg:hasVariable?variable5.
    ?variable5 rdfs:label?variableLabel2.
    ?s orkg:hasVariable?variable6.
    ?variable6 dbpedia:variableType.
    ?variable6 orkg:hasValue?value4.
    ?study orkg:hasSubject?subject3.
    ?subject3 rdfs:label?subjectLabel3.
    ?study orkg:hasVariable?variable7.
    ?variable7 dbpedia:variableType.
    ?variable7 orkg:hasValue?value5.
    ?s orkg:hasVariable?variable8.
    ?variable8 rdfs:label?variableLabel3.
    ?s orkg:hasVariable?variable9.
    ?variable9 dbpedia:variableType.
    ?variable9 orkg:hasValue?value6.
    ?study orkg:hasSubject?subject4.
    ?subject4 rdfs:label?subjectLabel4.
    ?study orkg:hasVariable?variable10.
    ?variable10 dbpedia:variableType.
    ?variable10 orkg:hasValue?value7.
    ?s orkg:hasVariable?variable11.
    ?variable11 rdfs:label?variableLabel4.
    ?s orkg:hasVariable?variable12.
    ?variable12 dbpedia:variableType.
    ?variable12 orkg:hasValue?value8.
    ?study orkg:hasSubject?subject5.
    ?subject5 rdfs:label?subjectLabel5.
    ?study orkg:hasVariable?variable13.
    ?variable13 dbpedia:variableType.
    ?variable13 orkg:hasValue?value9.
    ?s orkg:hasVariable?variable14.
    ?variable14 rdfs:label?variableLabel5.
    ?s orkg:hasVariable?variable15.
    ?variable15 dbpedia:variableType.
    ?variable15 orkg:hasValue?value10.
    ?s orkg:hasVariable?variable16.
    ?variable16 rdfs:label?variableLabel6.
    ?s orkg:hasVariable?variable17.
    ?variable17 dbpedia:variableType.
    ?variable17 orkg:hasValue?value11.
    ?study orkg:hasSubject?subject6.
    ?subject6 rdfs:label?subjectLabel6.
    ?study orkg:hasVariable?variable18.
    ?variable18 dbpedia:variableType.
    ?variable18 orkg:hasValue?value12.
    ?s orkg:hasVariable?variable19.
    ?variable19 rdfs:label?variableLabel7.
    ?s orkg:hasVariable?variable20.
    ?variable20 dbpedia:variableType.
    ?variable20 orkg:hasValue?value13.
    ?study orkg:hasSubject?subject7
