Question:
Where can I find code references in papers that have used the Concept Mention Extraction model for benchmarking purposes?

Generated SPARQL:
 SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:label?cont_lbl.
       FILTER(REGEX(?cont_lbl, "Concept Mention Extraction"))
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Benchmarking"))
      ?cont orkgp:P33?code.
      ?code rdfs:label?code_lbl.
     }     SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:label?cont_lbl.
       FILTER(REGEX(?cont_lbl, "Concept Mention Extraction"))
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Benchmarking"))
      ?cont orkgp:P33?code.
      ?code rdfs:label?code_lbl.
     }      SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:label?cont_lbl.
       FILTER(REGEX(?cont_lbl, "Concept Mention Extraction"))
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Benchmarking"))
      ?cont orkgp:P33?code.
      ?code rdfs:label?code_lbl.
     }     SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:label?cont_lbl.
       FILTER(REGEX(?cont_lbl, "Concept Mention Extraction"))
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Benchmarking"))
      ?cont orkgp:P33?code.
      ?code rdfs:label?code_lbl.
     }     SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:label?cont_lbl.
       FILTER(REGEX(?cont_lbl, "Concept Mention Extraction"))
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Benchmarking"))
      ?cont orkgp:P33?code.
      ?code rdfs:label?code_lbl.
     }     SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:label?cont_lbl.
       FILTER(REGEX(?cont_lbl, "Concept Mention Extraction"))
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Benchmarking"))
      ?cont orkgp:P33?code.
      ?code rdfs:label?code_lbl.
     }     SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:label?cont_lbl.
       FILTER(REGEX(?cont_lbl, "Concept Mention Extraction"))
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Benchmarking"))
      ?cont orkgp:P33?code.
      ?code rdfs:label?code_lbl.
     }      SELECT?code
     WHERE {
      ?paper?paper_lbl. 
       FILTER(REGEX(?paper_lbl, "Benchmarking:"))
      ?paper orkgp:P31?cont. 
      ?cont rdfs:
