Question:
List the metrics that are used to evaluate models on the RotoWire (Content Ordering) benchmark dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl
     WHERE {
      ?dataset       a                orkgc:Dataset;
                      rdfs:label      ?dataset_lbl.
       FILTER (str(?dataset_lbl) = "RotoWire (Content Ordering)")
      ?benchmark      orkgp:HAS_DATASET      ?dataset;
                      orkgp:HAS_EVALUATION   ?eval.
      ?eval           orkgp:HAS_METRIC        ?metric;
                      orkgp:HAS_VALUE         ?value.
      ?metric         rdfs:label              ?metric_lbl.
      ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont         rdfs:label               ?cont_lbl.
       FILTER (str(?cont_lbl) = "RotoWire (Content Ordering)")
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgp:P31               ?cont.
      ?cont         orkgq:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?cont_lbl.
      ?cont         orkgp:P31               ?cont.
      ?cont         rdfs:label              ?
