Question:
Can you list the metrics used to evaluate models on the Atari 2600 Zaxxon dataset?

Generated SPARQL:
 SELECT?metric
    ?metric a?metric_type.
     FILTER(REGEX(?metric, "F1"))
     UNION
     SELECT?metric
    ?metric a?metric_type.
     FILTER(REGEX(?metric, "cosine similarity|euclidean distance"))  
     ORDER BY DESC(?metric_score)
     LIMIT 5
```     SELECT?metric?metric_lbl
     WHERE {
        ?dataset       a                orkgc:Dataset;
                         rdfs:label      ?dataset_lbl.
         FILTER(REGEX(?dataset_lbl, "Atari 2600 Zaxxon"))
        ?benchmark      orkgp:HAS_DATASET      ?dataset;
                         orkgp:HAS_EVALUATION   ?eval.
        ?eval           orkgp:HAS_METRIC        ?metric;
                         rdfs:label              ?metric_lbl.
        ?metric        rdfs:label              ?metric_lbl.
        ?metric        a                      ?metric_type.
        ?metric       orkgp:HAS_BENCHMARK     ?benchmark.
        ?benchmark      rdfs:label              ?benchmark_lbl.
        ?metric       orkgp:HAS_SIMILARITY    ?sim.
        ?sim           rdfs:label              ?sim_lbl.
        ?sim           orkgp:HAS_METRIC        ?metric.
        ?metric       a                      ?metric_type.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       a                      ?metric_type.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric.
        ?metric       orkgp:HAS_METRIC        ?metric
