Question:
Can you provide links to code used in papers that benchmark the CAIT-XS-36 model?

Generated SPARQL:
 SELECT?code
     WHERE {
      ?model    a            orkgc:Model;
                 rdfs:label   ?model_lbl.
       FILTER (str(?model_lbl) = "CAIT-XS-36")
      ?benchmark      orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:HAS_BENCHMARK     ?benchmark.
      ?cont           orkgp:P31               ?model.
      ?model           rdfs:label              ?model_lbl.
       OPTIONAL {?cont           orkgp:HAS_CODE         ?code.}
      ?code           rdfs:label              ?code_lbl.
      ?code           orkgp:P31               ?cont.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?eval           orkgp:P31               ?cont.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_MODEL         ?model.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval.
      ?cont           orkgp:HAS_CODE         ?code.
      ?cont           rdfs:label              ?cont_lbl.
      ?cont           orkgp:HAS_DATASET       ?dataset.
      ?cont           orkgp:P31               ?model.
      ?cont           orkgp:HAS_EVALUATION    ?eval
