Question:
What is the best performing model benchmarking the Reacher, easy (DMControl100k) dataset in terms of Score metric?

Generated SPARQL:
 SELECT DISTINCT?model?model_lbl
     WHERE {
      ?metric     a       orkgc:Metric;
                  rdfs:label ?metric_lbl.
       FILTER (str(?metric_lbl) = "Score")
      ?benchmark      orkgp:HAS_DATASET       ?dataset.
      ?dataset       orkgp:HAS_BENCHMARK     ?benchmark.
      ?benchmark      orkgp:HAS_MODEL         ?model.
      ?model        rdfs:label              ?model_lbl.
      ?model      orkgp:P31               ?cont. 
      ?cont.       orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
       FILTER (str(?cont_lbl) = "Reacher, easy (DMControl100k)")
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model.
      ?cont      rdfs:label              ?cont_lbl.
      ?cont      orkgp:P31               ?cont.
      ?cont      orkgp:HAS_EVALUATION   ?eval.
      ?eval.        orkgp:HAS_METRIC        ?metric.
      ?cont      orkgp:HAS_MODEL         ?model
