Question:
Where can I find code references in papers that have used the All-attention network - 18 layers model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?code.
      ?paper orkgp:P50024?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "All-attention network - 18 layers"))
      ?paper orkgp:P8018?benchmark.
      ?benchmark orkgp:P50368?eval.
      ?eval orkgp:P5214?cont.
     }<|eot_id|>
