Question:
Where can I find code references in papers that have used the Pointer + Coverage + EntailmentGen + QuestionGen model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?study.
      ?study orkgp:P5009?model.
      ?model orkgp:P5010?entailment.
      ?entailment rdfs:label?entailment_labels.
       FILTER(REGEX(?entailment_labels, "Pointer + Coverage + EntailmentGen + QuestionGen"))
      ?study orkgp:P5011?benchmark.
      ?benchmark orkgp:P5008?code.
     }<|eot_id|>
