Question:
Where can I find code references in papers that have used the MMV model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
        ?paper orkgp:P32?cont.
        ?cont. rdfs:label?paper_title.
         FILTER(REGEX(?paper_title, "MMV model"))
        ?paper orkgp:P31?benchmark.
        ?benchmark orkgp:P32?cont.
        ?cont. rdfs:label?cont_label.
         FILTER(REGEX(?cont_label, "benchmark"))
        ?cont. orkgp:P32?code.
        ?code rdfs:label?code.
     }<|eot_id|>
