Question:
Where can I find code references in papers that have used the Concept Mention Extraction model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont. rdfs:label?title.
       FILTER(REGEX(?title, "benchmarking|model|Concept Mention Extraction"))
      ?paper orkgp:P27?cont2.
      ?cont2 rdfs:label?code.
       FILTER(?code!= "https://github.com/huggingface/transformers/tree/main/src/transformers/models")
      ?cont2 rdfs:label?code.
     }
     ORDER BY?code<|eot_id|>
