Question:
Where can I find code references in papers that have used the PEGASUS model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
        ?paper orkgp:P31?cont.
        ?cont orkgp:P37586?benchmark.
        ?benchmark orkgp:P2529?eval.
        ?eval orkgp:P5044?model.
        ?model rdfs:label?model_lbl.
         FILTER(REGEX(?model_lbl, "PEGASUS"))
        ?paper orkgp:P5045?code.
        ?code rdfs:label?code_lbl.
         FILTER(REGEX(?code_lbl, "code"))
     }<|eot_id|>
