Question:
Provide a list of papers that have utilized the CRF with sentence expansion model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P31?cont.
      ?cont orkgp:P32?model.
      ?model orkgp:P4014?crf_model.
      ?crf_model rdfs:label?crf_model_label.
       FILTER(REGEX(?crf_model_label, "CRF with sentence expansion"))
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?model.
      ?model rdfs:label?model_label.
       FILTER(REGEX(?model_label, "sentence expansion"))
      ?paper orkgp:P27?code.
       BIND(xsd:integer(?code) AS?code)
       OPTIONAL {?paper orkgp:P27?code}
       BIND(xsd:integer(?code) AS?code)<|eot_id|>
