Question:
Indicate the model that performed best in terms of Test perplexity metric on the WikiText-103 benchmark dataset?

Generated SPARQL:
 ```sparql
SELECT DISTINCT?model
WHERE {
 ?dataset       a                orkgc:Dataset;
                  rdfs:label      ?dataset_lbl.
  FILTER (str(?dataset_lbl) = "WikiText-103")
 ?benchmark      orkgp:HAS_DATASET      ?dataset;
                  orkgp:HAS_EVALUATION   ?eval.
 ?paper         orkgp:HAS_BENCHMARK     ?benchmark.
  OPTIONAL {?paper      orkgp:HAS_MODEL         ?model.
           ?model      rdfs:label              ?model_lbl.}
  OPTIONAL {?paper      orkgp:HAS_EVALUATION   ?eval.
           ?eval      orkgp:HAS_METRIC        ?metric;
                       orkgp:HAS_VALUE         ?value.}
  OPTIONAL {?eval      orkgp:HAS_METRIC        ?metric;
           ?metric      rdfs:label              ?metric_lbl.
            FILTER (str(?metric_lbl) = "test perplexity")}
}
```    end of codeblock
    end of solution
    end of document
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
    end of problem
    end of context
    end of question
    end of input
    end of header
    end of footer
    end of page
    end of document
    end of code
    end of solution
