Question:
What are the metrics of evaluation over the OntoNotes dataset?

Generated SPARQL:
 SELECT?label
     WHERE {
      ?paper rdfs:label?label.
       FILTER(REGEX(STR(?label), "OntoNotes"))
      ?comparison rkgp:HAS_DATASET?dataset.
      ?dataset rkgp:P31?paper.
      ?paper rkgp:P31?cont.
      ?cont rkgp:P31?eval.
      ?eval rkgp:P33?metric.
       BIND(xsd:float(?metric) AS?value)
       BIND(xsd:float(?cont) AS?cont_value)
       BIND(xsd:float(?paper) AS?paper_value)
       BIND(xsd:float(?dataset) AS?dataset_value)
      ?cont rkgp:P32?cont_eval.
      ?cont_eval rkgp:P33?cont_eval_metric.
      ?cont_eval_metric rkgp:P33?eval_metric.
       BIND(xsd:float(?cont_eval_metric) AS?cont_eval_value)
      ?eval rkgp:P33?eval_metric.
       BIND(xsd:float(?eval_metric) AS?eval_value)
      ?eval rkgp:P33?eval_eval_metric.
       BIND(xsd:float(?eval_eval_metric) AS?eval_eval_value)
       BIND(xsd:float(?cont_eval_eval_metric) AS?cont_eval_eval_value)
      ?metric rkgp:P33?cont_eval_eval_metric.
       BIND(xsd:float(?cont_eval_eval_metric) AS?cont_eval_eval_value)
       BIND(xsd:float(?eval_eval_eval_metric) AS?eval_eval_eval_value)
       BIND(xsd:float(?eval_eval_eval_value) AS?eval_eval_value)
      ?cont_eval_eval_metric rkgp:P33?cont_eval_eval.
       BIND(xsd:float(?cont_eval_eval) AS?cont_eval_eval_value)
      ?cont_eval_eval rkgp:P33?cont_eval.
       BIND(xsd:float(?cont_eval) AS?cont_eval_value)
      ?cont_eval rkgp:P33?cont.
       BIND(xsd:float(?cont) AS?cont_value)
      ?cont rkgp:P33?eval.
       BIND(xsd:float(?eval) AS?eval_value)
      ?eval rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval_eval rkgp:P33?eval_eval_eval.
       BIND(xsd:float(?eval_eval_eval) AS?eval_eval_eval_value)
      ?eval_eval_eval rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval rkgp:P33?eval_eval_metric.
       BIND(xsd:float(?eval_eval_metric) AS?eval_eval_value)
      ?eval_eval_metric rkgp:P33?eval.
       BIND(xsd:float(?eval) AS?eval_value)
      ?eval rkgp:P33?eval_eval_eval.
       BIND(xsd:float(?eval_eval_eval) AS?eval_eval_eval_value)
      ?eval_eval_eval rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval rkgp:P33?eval_eval_metric.
       BIND(xsd:float(?eval_eval_metric) AS?eval_eval_value)
      ?eval_eval_metric rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval rkgp:P33?eval_eval_eval.
       BIND(xsd:float(?eval_eval_eval) AS?eval_eval_eval_value)
      ?eval_eval_eval rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval rkgp:P33?eval_eval_metric.
       BIND(xsd:float(?eval_eval_metric) AS?eval_eval_value)
      ?eval_eval_metric rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval rkgp:P33?eval_eval_eval.
       BIND(xsd:float(?eval_eval_eval) AS?eval_eval_eval_value)
      ?eval_eval_eval rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval rkgp:P33?eval_eval_metric.
       BIND(xsd:float(?eval_eval_metric) AS?eval_eval_value)
      ?eval_eval_metric rkgp:P33?eval_eval.
       BIND(xsd:float(?eval_eval) AS?eval_eval_value)
      ?eval rkgp:P33?eval_eval_eval.
       BIND(xsd:float(?eval_eval_eval) AS?eval_eval_eval_value)
      ?eval_eval_eval rkgp:P33?eval_eval.
       BIND(xsd:float(?eval
