Question:
Which are 3 the most common variables for the atmosphere models?

Generated SPARQL:
 SELECT?variable,?model
     WHERE {
      ?model    a            orkgc:Model;
                 rdfs:label   ?model_lbl.
       FILTER (str(?model_lbl) = "atmosphere")
      ?model      orkgp:HAS_VARIABLE   ?variable.
      ?variable  rdfs:label           ?variable_lbl.
      ?variable  orkgp:P31           ?cont.
      ?cont       rdfs:label           ?cont_lbl.
      ?cont_lbl   rdfs:label           ?cont_lbl_lbl.
      ?cont_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     orkgp:P31           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl_lbl     rdfs:label           ?cont_lbl_lbl_lbl.
      ?cont_lbl_lbl
