Question:
Which sectors are modeled as energy sectors and how often?

Generated SPARQL:
 SELECT DISTINCT?label?label_lbl (COUNT(*) AS freq)
     WHERE {
      ?model    a            orkgc:Model;
                 rdfs:label  ?model_lbl.
       FILTER (str(?model_lbl) = "Energy(theory"))
      ?cont      orkgp:HAS_MODEL     ?model.
      ?paper     orkgp:HAS_MODEL     ?cont.
      ?author    rdfs:label          ?author_lbl.
      ?paper     orkgp:P31           ?paper_lbl.
      ?paper     rdfs:label          ?model_lbl.
      ?cont      orkgp:P31           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P32           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P33           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P34           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P35           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P36           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P37           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P38           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P39           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P40           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P41           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P42           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P43           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P44           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P45           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P46           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P47           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P48           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P49           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P50           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P51           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?cont      orkgp:P52           ?cont_lbl.
      ?cont      rdfs:label          ?cont_lbl.
      ?cont      orkgp:HAS_MODEL     ?cont.
      ?
