Question:
Provide a list of papers that have utilized the CL-Titles-Parser model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P34?model.
       FILTER(REGEX(?model, "CL-Titles-Parser"))
      ?model orkgp:P4007?implementation.
      ?implementation orkgp:P5047?code
      ?paper orkgp:P5048?eval.
      ?eval orkgp:P5049?approach.
      ?approach rdfs:label?approach_labels.
       FILTER(REGEX(?approach_labels, "CL-Titles-Parser"))
     }<|eot_id|>
