Question:
Provide a list of papers that have utilized the BART model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?paper orkgp:P5049?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "BART"))
      ?contrib orkgp:P5048?eval.
      ?eval orkgp:P5027?benchmark.
      ?benchmark orkgp:P5045?implementation.
      ?implementation orkgp:HAS_SOURCE_CODE?code.
     }<|eot_id|>
