Question:
Give me a list of research papers along with their titles and IDs, that have performed benchmarks on the STL-10 dataset?

Generated SPARQL:
 SELECT?title?title_lbl (SELECT?paper_id AS?id FROM?cont) AS?title?cont_id
     WHERE {
     ?dataset       a                orkgc:Dataset;
                     rdfs:label      ?dataset_lbl.
      FILTER (str(?dataset_lbl) = "STL-10")
     ?benchmark      orkgp:HAS_DATASET      ?dataset.
     ?cont          orkgp:HAS_BENCHMARK     ?benchmark.
      OPTIONAL {?cont      orkgp:HAS_DATASET      ?dataset.
              ?cont      orkgp:HAS_DATASET      ?dataset.
              ?cont      orkgp:HAS_DATASET      ?dataset.}
     ?cont          rdfs:label              ?cont_lbl.
     ?cont          orkgp:HAS_DATASET      ?dataset.
      OPTIONAL {?cont      rdfs:label              ?cont_lbl.}
     ?cont          orkgp:HAS_DATASET      ?dataset.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         rdfs:label              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     ?cont         orkgp:P31              ?cont_lbl.
     
