Question:
What are the metrics of evaluation over the OntoNotes dataset?

Generated SPARQL:
 SELECT?metric?metric_lbl
     WHERE {
       orkgp:R1 orkgp:HAS_DATASET orkgp:HAS_EVALUATION.
       orkgp:HAS_EVALUATION orkgp:HAS_DATASET orkgp:R2.
       orkgp:R2 orkgp:HAS_DATASET orkgp:R3.
       orkgp:R3 orkgp:HAS_DATASET orkgp:R4.
       orkgp:R4 orkgp:HAS_DATASET orkgp:R5.
       orkgp:R5 orkgp:HAS_DATASET orkgp:R6.
       orkgp:R6 orkgp:HAS_DATASET orkgp:R7.
       orkgp:R7 orkgp:HAS_DATASET orkgp:R8.
       orkgp:R8 orkgp:HAS_DATASET orkgp:R9.
       orkgp:R9 orkgp:HAS_DATASET orkgp:R10.
       orkgp:R10 orkgp:HAS_DATASET orkgp:R11.
       orkgp:R11 orkgp:HAS_DATASET orkgp:R12.
       orkgp:R12 orkgp:HAS_DATASET orkgp:R13.
       orkgp:R13 orkgp:HAS_DATASET orkgp:R14.
       orkgp:R14 orkgp:HAS_DATASET orkgp:R15.
       orkgp:R15 orkgp:HAS_DATASET orkgp:R16.
       orkgp:R16 orkgp:HAS_DATASET orkg
