Question:
What is the top benchmark score and its metric on the Atari 2600 Centipede dataset?

Generated SPARQL:
 SELECT?metric, MAX(?score) AS top_score
     WHERE {
       orkgp:R111221 ORKGC:HAS_DATASET orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3038 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3039 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3037 orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(STR(?dataset_lbl), "Centipede", "i"))
      ?dataset orkgp:P3037 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3038 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET orkgp:R131168.
      ?dataset orkgp:P3039 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3038 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3037 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3039 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3038 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3037 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3039 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3038 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3037 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3039 orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P3038 orkgp:HAS_DATASET?dataset.
      
