Question:
Can you provide links to code used in papers that benchmark the Transformer-XL Base model?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?papers rdfs:label?papers_labels.
       FILTER(REGEX(?papers_labels, "Transformer-XL Base"))
      ?papers orkgp:P32?eval.
      ?eval orkgp:P31?cont.
      ?cont orkgp:P34?implementation.
      ?implementation orkgp:P15?code.
      ?code rdfs:label?code_labels.
       FILTER(REGEX(?code_labels, "http://nlp.cs.uchicago.edu/projects/transformerxl/"))
     }<|eot_id|>
