Question:
Where can I find code references in papers that have used the MPAD-path model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?event.
      ?event orkgp:P15030?benchmark.
       FILTER(REGEX(?benchmark, "MPAD-path"))
      ?benchmark orkgp:HAS_BENCHMARK?cont.
      ?cont orkgp:HAS_IMPLEMENTATION?implementation.
       FILTER(REGEX(?implementation, "code"))
      ?implementation orkgp:P37587?code
     }<|eot_id|>
