Question:
Where can I find code references in papers that have used the DQNMMCe+SR model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P32?eval.
      ?eval orkgp:HAS_EVALUATION?evaluation.
      ?evaliation orkgp:HAS_METHOD?method.
      ?method orkgp:HAS_IMPLEMENTATION?implementation.
      ?implementation orkgp:HAS_BENCHMARK?benchmark.
       FILTER(REGEX(STR(?benchmark), "DQNMMCe+SR"))
      ?implementation orkgp:P3709?code
     }<|eot_id|>
