Question:
Provide a list of papers that have utilized the CRF with sentence expansion model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?papers rdf:type orkgc:Paper.
      ?papers orkgp:P31?contrib.
      ?contrib orkgp:P32?model.
      ?model orkgp:HAS_IMPLEMENTATION?impl.
      ?impl orkgp:P5047?code.
      ?model orkgp:HAS_METHOD?method.
       FILTER(REGEX(?method, "CRF with sentence expansion"))
      ?papers orkgp:P31?papers2.
      ?papers2 orkgp:P5003?dataset.
      ?dataset orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P4310?eval.
      ?eval orkgp:P4311?eval2.
      ?eval2 orkgp:P4312?approach.
      ?approach rdfs:label?approach_labels.
       FILTER(REGEX(?approach_labels, "CRF with sentence expansion"))
      ?papers orkgp:P31?papers3.
      ?papers3 orkgp:P5003?dataset2.
      ?dataset2 orkgp:HAS_BENCHMARK?benchmark2.
      ?benchmark2 orkgp:P4310?eval3.
      ?eval3 orkgp:P4311?eval4.
      ?eval4 orkgp:P4312?approach_labels2.
      ?approach_labels2 rdfs:label?approach_labels
     }<|eot_id|>
