Question:
Can you provide links to code used in papers that benchmark the FABIR model?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?cont.
      ?cont orkgp:P34?eval.
      ?eval orkgp:HAS_EVALUATION?eval_uis.
      ?eval_uis rdfs:label?eval_title.
       FILTER(REGEX(?eval_title, "FABIR"))
      ?eval orkgp:P31?cont.
      ?cont orkgp:P34?benchmark.
      ?benchmark orkgp:HAS_BENCHMARK?benchmark_cont.
      ?benchmark_cont orkgp:HAS_IMPLEMENTATION?code
     }<|eot_id|>
