Question:
Where can I find code references in papers that have used the Past Decode Reg. + AWD-LSTM-MoS + dyn. eval. model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code rdfs:label?code_lbl.
       FILTER(REGEX(?code_lbl, "Past Decode Reg. + AWD-LSTM-MoS + dyn. eval."))
      ?contrib orkgp:P31?model.
      ?model orkgp:P37571?benchmark.
      ?benchmark orkgp:P37572?eval.
      ?eval orkgp:P37573?cont.
      ?cont orkgp:P37574?code.
      ?code rdfs:label?code_lbl.
     }<|eot_id|>
