Question:
List the code links in papers that use the Rfa-Gate-arccos model in any benchmark?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?publication orkgp:PUBLICATION?paper.
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:HAS_MODEL?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(?model_lbl, "Rfa-Gate-arccos"))
      ?model orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_IMPLEMENTATION?implementation.
      ?implementation orkgp:HAS_CODE_LINK?code
     }<|eot_id|>
