Question:
List the code links in papers that use the A3C FF (1 day) hs model in any benchmark?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?code orkgp:P5049?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(STR(?model_lbl), "A3C FF (1 day) hs"))
      ?contrib orkgp:P5048?benchmark.
      ?benchmark orkgp:P31?eval.
      ?eval orkgp:P5047?implementation.
      ?implementation orkgp:P31?code2.
       FILTER(?code =?code2)
     }<|eot_id|>
