Question:
List the title and ID of research papers that contain a benchmark over the DBpedia dataset?

Generated SPARQL:
 SELECT?title?identifier
     WHERE {
       orkgr:R44978 orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
       FILTER(REGEX(?dataset, "DBpedia"))
      ?dataset rdfs:label?title.
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P31?paper.
      ?paper orkgp:HAS_PUBLICATION?publication.
      ?publication rdfs:label?publication_lbl.
       FILTER(REGEX(?title, "has"))
      ?paper orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_PUBLICATION?publication.
      ?publication rdfs:label?publication_lbl.
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_PUBLICATION?publication.
      ?publication rdfs:label?publication_lbl.
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_PUBLICATION?publication.
      ?publication rdfs:label?publication_lbl.
       FILTER(REGEX(?publication_lbl, "has"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_PUBLICATION?publication.
      ?publication rdfs:label?publication_lbl.
       FILTER(REGEX(?publication_lbl, "has"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_PUBLICATION?publication.
      ?publication rdfs:label?publication_lbl.
       FILTER(REGEX(?publication_lbl, "has"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:HAS_DATASET?dataset.
      ?dataset rdfs:label?dataset_lbl.
       FILTER(REGEX(?dataset_lbl, "DBpedia"))
      ?paper orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:HAS_DATASET?dataset.
      ?dataset or
