Question:
Where can I find code references in papers that have used the Past Decode Reg. + AWD-LSTM-MoS + dyn. eval. model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?paper orkgp:P37586?eval.
      ?eval orkgp:P37583?model.
      ?model rdfs:label?model_lbl.
       FILTER(REGEX(STR(?model_lbl), "Past Decode Reg. + AWD-LSTM-MoS + dyn. eval.")
      ?paper orkgp:P37587?benchmark.
      ?benchmark orkgp:P37582?cont.
      ?cont orkgp:P31?eval2.
      ?eval2 orkgp:P43134?code2.
       FILTER(?code2 =?code)
     }<|eot_id|>
