Question:
Provide a list of papers that have utilized the CRF with sentence expansion model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?papers rdf:type orkgc:Paper.
      ?papers orkgp:P31?contrib.
      ?contrib orkgp:P32?model.
      ?model rdfs:label?model_labels.
       FILTER(REGEX(?model_labels, "CRF with sentence expansion"))
      ?model orkgp:P37534?implementation.
      ?implementation orkgp:P4136?code.
      ?papers orkgp:P37533?eval.
      ?eval orkgp:P4314?evalutations.
      ?evalutations rdfs:label?eval_labels.
      ?eval_labels rdfs:label?eval.
      ?contrib orkgp:P4313?benchmark.
      ?benchmark orkgp:P4315?cont.
      ?cont orkgp:P4316?eval.
      ?eval orkgp:P4317?eval2.
      ?eval2 rdfs:label?eval.
      ?contrib orkgp:P4318?dataset.
      ?dataset orkgp:P4319?dataset2.
      ?dataset2 rdfs:label?dataset.
      ?code orkgp:P4312?method.
      ?method rdfs:label?method_labels.
      ?method rdfs:label?method.
       FILTER(REGEX(?method_labels, "CRF with sentence expansion"))
     }<|eot_id|>
