Question:
Provide a list of papers that have utilized the A3C LSTM hs model and include the links to their code?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?paper.
      ?paper orkgp:HAS_DATASET?dataset.
      ?dataset orkgp:P5049?implementation.
      ?implementation rdfs:label?implementation_title.
       FILTER(REGEX(?implementation_title, "A3C LSTM hs"))
      ?contrib orkgp:HAS_IMPLEMENTATION?implementation.
      ?implementation orkgp:P43131?code.
     }<|eot_id|>
