Question:
Where can I find code references in papers that have used the DQNMMCe+SR model for benchmarking purposes?

Generated SPARQL:
 SELECT DISTINCT?code
     WHERE {
      ?paper orkgp:P31?contrib.
      ?contrib orkgp:P32?code.
      ?paper orkgp:P5009?eval.
      ?eval orkgp:HAS_EVALUATION?eval_eval.
      ?eval_eval rdfs:label?eval_label.
       FILTER(REGEX(?eval_label, "DQNMMCe+SR"))
      ?contrib orkgp:HAS_BENCHMARK?benchmark.
      ?benchmark orkgp:P5008?impl.
      ?impl orkgp:HAS_IMPLEMENTATION?code.
     }<|eot_id|>
