Question:
What are the titles and IDs of research papers that include a benchmark for the PWC Leaderboards (restricted) dataset?

Generated SPARQL:
 SELECT DISTINCT?title?paper_id 
    WHERE {
     ?paper orkgc:HAS_DATASET?dataset.
     ?dataset orkgp:HAS_DATASET?dataset2.
     ?dataset2 rdfs:label?dataset_lbl.
      FILTER (str(?dataset_lbl) = "PWC Leaderboards (restricted)")
     ?paper orkgp:HAS_BENCHMARK?benchmark.
     ?benchmark orkgp:HAS_MODEL?model.
     ?model orkgp:HAS_TITLE?title.
     ?paper orkgp:
