Question:
Who has contributed to the largest number of articles about coronavirus?

Generated SPARQL:
 SELECT?contributor
     WHERE {
      ?contributor orkgp:hasContribution?contrib.
      ?contrib orkgp:hasContribution?contrib2.
      ?contrib orkgp:hasContribution?contrib3.
      ?contrib orkgp:hasContribution?contrib4.
      ?contrib orkgp:hasContribution?contrib5.
      ?contrib orkgg:hasContribution?contrib6.
      ?contrib orkgp:hasContribution?contrib7.
      ?contrib orkgp:hasContribution?contrib8.
      ?contrib orkgp:hasContribution?contrib9.
      ?contrib orkgp:hasContribution?contrib10.
      ?contrib orkgp:hasContribution?contrib11.
      ?contrib orkgp:hasContribution?contrib12.
      ?contrib orkgp:hasContribution?contrib13.
      ?contrib orkgp:hasContribution?contrib14.
      ?contrib orkgp:hasContribution?contrib15.
      ?contrib orkgp:hasContribution?contrib16.
      ?contrib orkgp:hasContribution?contrib17.
      ?contrib orkgp:hasContribution?contrib18.
      ?contrib orkgp:hasContribution?contrib19.
      ?
