Question:
Which model has achieved the highest Entity F1 score on the SciERC benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://example.org/orkg/>
     PREFIX orkc: <http://example.org/orkc/>
     PREFIX orkp: <http://example.org/orkp/>
     PREFIX orkq: <http://example.org/orkq/>
     PREFIX orkr: <http://example.org/orkr/>
     PREFIX orks: <http://example.org/orks/>
     PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX orkgp: <http://example.org/orkgp/>
     PREFIX orkgc: <http://example.org/orkgc/>
     PREFIX orkgo: <http://example.org/orkgo/>
     PREFIX orkgr: <http://example.org/orkgr/>
     PREFIX orkgs: <http://example.org/orkgs/>
     PREFIX orkqr: <http://example.org/orkqr/>
     PREFIX orkra: <http://example.org/orkra/>
     PREFIX orkri: <http://example.org/orkri/>
     PREFIX orkro: <http://example.org/orkro/>
     PREFIX orkrr: <http://example.org/orkrr/>
     PREFIX orkrs: <http://example.org/orkrs/>
     PREFIX orkrt: <http://example.org/orkrt/>
     PREFIX orkru: <http://example.org/orkru/>
     PREFIX orkrv: <http://example.org/orkrv/>
     PREFIX orksw: <http://example.org/orksw/>
     PREFIX orktp: <http://example.org/orktp/>
     PREFIX orkts: <http://example.org/orkts/>
     PREFIX orktr: <http://example.org/orktr/>
     PREFIX orktsa: <http://example.org/orktsa/>
     PREFIX orkta: <http://example.org/orkta/>
     PREFIX orktd: <http://example.org/orktd/>
     PREFIX orkte: <http://example.org/orkte/>
     PREFIX orkti: <http://example.org/orkti/>
     PREFIX orktl: <http://example.org/orktl/>
     PREFIX orktm: <http://example.org/orktm/>
     PREFIX orktn: <http://example.org/orktn/>
     PREFIX orkto: <http://example.org/orkto/>
     PREFIX orktq: <http://example.org/orktq/>
     PREFIX orktrq: <http://example.org/orktrq/>
     PREFIX orktsq: <http://example.org/orktsq/>
     PREFIX orkst: <http://example.org/orkst/>
     PREFIX orktaa: <http://example.org/orktaa/>
     PREFIX orktao: <http://example.org/orktao/>
     PREFIX orktap: <http://example.org/orktap/>
     PREFIX orktas: <http://example.org/orktas/>
     PREFIX orktat: <http://example.org/orktat/>
     PREFIX orktau: <http://example.org/orktau/>
     PREFIX orktav: <http://example.org/orktav/>
     PREFIX orktaw: <http://example.org/orktaw/>
     PREFIX orktax: <http://example.org/orktax/>
     PREFIX orktay: <http://example.org/orktay/>
     PREFIX orktaz: <http://example.org/orktz/>
     PREFIX orktba: <http://example.org/orktb/>
     PREFIX orktaa: <http://example.org/orktaa/>
     PREFIX orktao: <http://example.org/orktao/>
     PREFIX orktaq: <http://example.org/orktaq/>
     PREFIX orktat: <http://example.org/orktat/>
     PREFIX orktaw: <http://example.org/orktaw/>
     PREFIX orktau: <http://example.org/orktau/>
     PREFIX orktao: <http://example.org/orktao/>
     PREFIX orktaq: <http://example.org/orktaq/>
     PREFIX orktat: <http://example.org/orktat/>
     PREFIX orktaw: <http://example.org/orktaw/>
     PREFIX orktao: <http://example.org/orktao/>
     PREFIX orktaq: <http://example.org/orktaq/>
     PREFIX orktat: <http://example.org/orktat/>
     PREFIX orktaw: <http://example.org/orktaw/>
     PREFIX orktao: <
