Question:
Which model has achieved the highest Percentage error score on the SVHN benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://example.org/orkg/>
     PREFIX orkc: <http://example.org/orkc/>
     PREFIX orkp: <http://example.org/orkp/>
     PREFIX orkw: <http://example.org/orkw/>
     PREFIX orkr: <http://example.org/orkr/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orko: <http://example.org/orko/>
     PREFIX orql: <http://example.org/orkl/>
     PREFIX orkw: <http://example.org/orkw/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orko: <http://example.org/orko/>
     PREFIX orkr: <http://example.org/orkr/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX orkn: <http://example.org/orkn/>
     PREFIX or
