Question:
Where can I find code references in papers that have used the TCN model for benchmarking purposes?

Generated SPARQL:
 PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX schema: <http://schema.org/>
     PREFIX dc: <http://purl.org/dc/elements/1.1/>
     PREFIX orkg: <http://orcid.org/ontology#>
     PREFIX wkm: <http://www.w3.org/2014/02/wkm#>
     PREFIX wkmr: <http://www.w3.org/2014/02/wkmr#>
     PREFIX wkmr2: <http://www.w3.org/2014/02/wkmr2#>
     PREFIX wkmr3: <http://www.w3.org/2014/02/wkmr3#>
     PREFIX wkmr4: <http://www.w3.org/2014/02/wkmr4#>
     PREFIX wkmr5: <http://www.w3.org/2014/02/wkmr5#>
     PREFIX wkmr6: <http://www.w3.org/2014/02/wkmr6#>
     PREFIX wkmr7: <http://www.w3.org/2014/02/wkmr7#>
     PREFIX wkmr8: <http://www.w3.org/2014/02/wkmr8#>
     PREFIX wkmr9: <http://www.w3.org/2014/02/wkmr9#>
     PREFIX wkmr10: <http://www.w3.org/2014/02/wkmr10#>
    
