Question:
Where can I find code references in papers that have used the Tsetlin Machine model for benchmarking purposes?

Generated SPARQL:
 PREFIX orkg: <http://openresearchknowledgegraph.org/ontology/>
     PREFIX w3c: <http://www.w3.org/2002/07/owl#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX vcard: <http://xmlns.com/vcard/2.1/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dcterms: <http://purl.org/dc/terms/>
     PREFIX tdm: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX tsm: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX tm: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX tmr: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX tse: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX tset: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX tsw: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX tsmo: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX wmm: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX wms: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX wmo: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX wmp: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX wmn: <http://purl.org/dc/terms/modeling vocabulary/>
     PREFIX wmo: <http://purl.org/dc/terms/modeling vocabulary
