Question:
Provide a list of research paper titles and IDs that have benchmarked models on the WikiText-2 dataset?

Generated SPARQL:
 ```
SELECT?paper?title WHERE {
 ?paper wdt:P1624?title.
  Filter (?paper wdt:P106?model.
    FILTER (str(?model) = "benchmarked on WikiText-2".
    OR str(?model) = "WikiText-2".
    OR str(?model) = "WikiText2".
    OR str(?model) = "WikiText-2 dataset".
    OR str(?model) = "benchmark on WikiText-2".
    OR str(?model) = "benchmark on WikiText2".
    OR str(?model) = "benchmark on WikiText-2 dataset".
    OR str(?model) = "WikiText2 benchmark".
    OR str(?model) = "WikiText-2 benchmark".
    OR str(?model) = "benchmark on WikiText2".
    OR str(?model) = "benchmark on WikiText-2 dataset".
    OR str(?model) = "WikiText2 benchmark dataset".
    OR str(?model) = "WikiText-2 benchmark dataset".
    OR str(?model) = "WikiText2 benchmark dataset".
    OR str(?model) = "benchmark on WikiText2 dataset".
    OR str(?model) = "benchmark on WikiText-2 dataset".
    OR str(?model) = "WikiText2 benchmark dataset".
    OR str(?model) = "WikiText-2 benchmark dataset".
    OR str(?model) = "WikiText2 benchmark dataset".
    OR str(?model) = "benchmark on WikiText2 dataset".
    OR str(?model) = "benchmark on WikiText-2 dataset".
    OR str(?model) = "WikiText2 benchmark
