Question:
What is the best performing model benchmarking the 200k Short Texts for Humor Detection dataset in terms of F1-score metric?

Generated SPARQL:
 PREFIX orkg: <http://orkg.org/ontology/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX wot: <http://www.wotproject.org/ns/wot/>
     PREFIX vcard: <http://purl.org/vcard/>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX dbpedia-labs: <http://dbpedia-labs.org/ontology/>
     PREFIX wot-ex: <http://www.wotproject.org/ns/wot-ex/>
     PREFIX orkg-ml: <http://orkg.org/ontology/ml/>
     PREFIX orkg-ds: <http://orkg.org/ontology/ds>
     PREFIX orkg-s: <http://orkg.org/ontology/s>
     PREFIX orkg-p: <http://orkg.org/ontology/p>
     PREFIX orkg-r: <http://orkg.org/ontology/r>
     PREFIX orkg-v: <http://orkg.org/ontology/v>
     PREFIX orkg-kn: <http://orkg.org/ontology/kn>
     PREFIX orkg-cv: <http://orkg.org/ontology/cv>
     PREFIX orkg-rs: <http://orkg.org/ontology/rs>
     PREFIX orkg-cc: <http://orkg.org/ontology/cc>
     PREFIX orkg-pa: <http://orkg
