Question:
Can you provide links to code used in papers that benchmark the XLNet-Large model?

Generated SPARQL:
 PREFIX orkg: <http://openresearchknowledgegraph.org/orkg/>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX xsd: <http://www.w3.org/2001/XMLSchema#>
     PREFIX foaf: <http://xmlns.com/foaf/0.1/>
     PREFIX schema: <http://schema.org/>
     PREFIX vcard: <http://schema.org/VCard>
     PREFIX dcat: <http://www.w3.org/ns/dcat/>
     PREFIX w3c: <http://www.w3.org/ns/w3cWai-ARIA/>
     PREFIX dbpedia: <http://dbpedia.org/ontology/>
     PREFIX dbp: <http://dbpedia.org/properties/>
     PREFIX cta: <http://schema.org/ContactAction>
     PREFIX ctk: <http://schema.org/ContactType>
     PREFIX geo: <http://www.w3.org/2003/01/geo/wgs84_pos#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://schema.org/>
     PREFIX schema: <http://
