Question:
Can you provide links to code used in papers that benchmark the BiT-M (ResNet) model?

Generated SPARQL:
 PREFIX bio: <http://purl.org/dc/biologies/> 
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#> 
     PREFIX owl: <http://www.w3.org/2002/07/owl#> 
     PREFIX skos: <http://www.w3.org/2004/02/skos/core#> 
     PREFIX wot: <http://www.wot.org/ontology#> 
     PREFIX owl: <http://www.w3.org/2002/07/owl#> 
     PREFIX rdfr: <http://rdfr.org/ontology/> 
     PREFIX dcterms: <http://purl.org/dc/terms/> 
     PREFIX foaf: <http://xmlns.com/foaf/0.1/> 
     PREFIX vcard: <http://purl.org/vcard/rdf/2.1/> 
     PREFIX bib: <http://purl.org/dc/bibliography/2.1/> 
     PREFIX mms: <http://mms.mml.cmu.edu/prefixes/mms-2012-12-20/> 
     PREFIX fcreader: <http://www.loc.gov standards/fcreader/> 
     PREFIX schema: <http://schema.org/> 
     PREFIX uji: <http://ujifl.com/ujifl-ontology/> 
     PREFIX obo: <http://purl.obolibrary.org/obo/> 
     PREFIX ps: <http://purl.org/purl/ps/> 
     PREFIX ont: <http://purl.org/ontologies/rdf-owl-thesaurus/> 
     PREFIX dcat: <http://www.w3.org/ns/dcat/> 
     PREFIX wot: <http://www.w
