Question:
Could you provide a list of models that have been tested on the seel.cse.lsu.edu/data/refsq17.zip benchmark dataset?

Generated SPARQL:
 PREFIX orkg: <http://orcid.org/ontology/>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX sparql: <http://www.w3.org/TR/sparql1.1/ns#>
     PREFIX fma: <http://identifiers.org/fma/>
     PREFIX bio2vec: <http://identifiers.org/bio2vec/>
     PREFIX dbgap: <http://identifiers.org/dbgap/>
     PREFIX modeldb: <http://identifiers.org/modeldb/>
     PREFIX wne: <http://identifiers.org/wne/>
     PREFIX wneu: <http://identifiers.org/wneu/>
     PREFIX wnel: <http://identifiers.org/wnel/>
     PREFIX pmid: <http://identifiers.org/pmid/>
     PREFIX pmc: <http://identifiers.org/pmc/>
     PREFIX ncbi: <http://identifiers.org/ncbi/>
     PREFIX bio2vec: <http://identifiers.org/bio2vec/>
     PREFIX fma: <http://identifiers.org/fma/>
     PREFIX rdm: <http://identifiers.org/rdm/>
     PREFIX modeldb: <http://identifiers.org/modeldb/>
     PREFIX wne: <http://identifiers.org/wne/>
     PREFIX wneu: <http://identifiers.org/wneu/>
     PREFIX wnel: <http://identifiers.org/wnel/>
     PREFIX wne: <http://identifiers.org/wne/>
     PREFIX owl: <http://www.w3.org/2002/07/owl#>
     PREFIX
