Question:
Could you provide a list of models that have been tested on the SST-2 Binary classification benchmark dataset?

Generated SPARQL:
 PREFIX wdt: <http://www.w3.org/2000/01/w3c/wdp/wdt#>
     PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
     PREFIX schema: <https://schema.org/>
     PREFIX orkg: <http://openresearchknowledgegraph.org/ontologies/orkg/>
     SELECT?model 
     WHERE {
    ?model schema:description?description.
    ?model schema:keywords "SST-2 Binary classification".
    ?model schema:publicationDataset schema:name "SST-2 Binary classification".
    ?model schema:publicationDataset schema:datasetType "classification".
    ?model schema:publicationDataset schema:datasetFormat "binary".
    ?model schema:publicationDataset schema:datasetSize "binary".
    ?model schema:publicationDataset schema:datasetDescription "binary".
    ?model schema:publicationDataset schema:datasetLocation "binary".
    ?model schema:publicationDataset schema:datasetFormat "binary".
    ?model schema:publicationDataset schema:datasetSize "binary".
    ?model schema:publicationDataset schema:datasetDescription "binary".
    ?model schema:publicationDataset schema:datasetLocation "binary".
    ?model schema:publicationDataset schema:datasetFormat "binary".
    ?model schema:publicationDataset schema:datasetSize "binary".
    ?model schema:publicationDataset schema:datasetDescription "binary".
    ?model schema:publicationDataset schema:datasetLocation "binary".
    ?model schema:publicationDataset schema:datasetFormat "binary".
    ?model schema:publicationDataset schema:datasetSize "binary".
    ?model schema:publicationDataset schema:datasetDescription "binary".
    ?model schema:
